Population Density (people/sq. Mile),Zip Code
132677.4,10128
132095.7,10075
129548.9,10025
123875.9,10023
120133.3,10040
115461.7,10026
110137.5,10162
108864.6,10021
105863.1,10030
102965.2,10005
100237,10009
100108.6,10033
98998.8,10003
94363.1,10029
94164.6,10016
90849.3,10002
90523.6,10031
89842.8,10032
82215.9,10065
80408.9,10011
78604.4,10010
76855.1,10012
72357.3,10027
70556.6,10038
69066.6,10024
68340.7,10037
68058.9,10022
67476.6,10282
63671.9,10280
56986.1,10019
56042.6,10039
55901.7,10014
54427.5,10036
53018.6,10069
50847,10017
49860.2,10044
48772.7,10013
41282.4,10007
37885.9,10034
36638.7,10001
32132,10006
25054.8,10018
24895.7,10035
5591.7,10119
5402.4,10004
421.2,10173
396.7,10165
349.3,10199
313.6,10103
207.9,10170
207.7,10171
97,10110
36.2,10020
